2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

Throne:Flaming Gravy Fairy	Hot Damage: +20
Throne:Frozen Gravy Fairy	Cold Damage: +20
Throne:Frumious Bandersnatch	Experience: +2
Throne:Fuzzy Dice	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Galloping Grill	Spell Damage Percent: +10
Throne:Gelatinous Cubeling	Familiar Weight: +5
Throne:Ghost Pickle on a Stick	Familiar Weight: +5, HP Regen Min: 8, HP Regen Max: 10
Throne:Ghuol Whelp	HP Regen Min: 2, HP Regen Max: 8, MP Regen Min: 2, MP Regen Max: 8
Throne:Gluttonous Green Ghost	Food Drop: +15
Throne:Green Pixie	Maximum HP: +10, Maximum MP: +10
Throne:Grim Brother	Combat Rate: +5
Throne:Grimstone Golem	Combat Rate: -5
Throne:Grinning Turtle	Experience (Muscle): +2
Throne:Grouper Groupie	Meat Drop: +20
Throne:Grue	Mysticality Percent: +15
Throne:Hand Turkey	Meat Drop: +20
Throne:Hanukkimbo Dreidl	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Happy Medium	Meat Drop: +25
Throne:He-Boulder	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Hippo Ballerina	Meat Drop: +20
Throne:Hobo Monkey	Meat Drop: +25
Throne:Holiday Log	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
Throne:Hovering Skull	Experience (Moxie): +2
Throne:Hovering Sombrero	Experience (Mysticality): +2
Throne:Howling Balloon Monkey	Spell Damage Percent: +10
Throne:Hunchbacked Minion	Experience (Muscle): +2
Throne:Imitation Crab	Muscle Percent: +15
Throne:Inflatable Dodecapede	Mysticality Percent: +15
Throne:Jack-in-the-Box	Experience: +2
Throne:Jill-O-Lantern	Experience (Moxie): +2, HP Regen Min: 8, HP Regen Max: 10
Throne:Jitterbug	Meat Drop: +20
Throne:Jumpsuited Hound Dog	Weapon Damage: +20, HP Regen Min: 4, HP Regen Max: 10, MP Regen Min: 2, MP Regen Max: 10
Throne:Killer Bee	Experience (Muscle): +2, HP Regen Min: 8, HP Regen Max: 10
Throne:Knob Goblin Organ Grinder	Meat Drop: +25
Throne:Leprechaun	Meat Drop: +20
Throne:Levitating Potato	Initiative: +20, HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 3, MP Regen Max: 4
Throne:Li'l Xenomorph	Item Drop: +15
Throne:Llama Lama	Maximum HP: +10, Maximum MP: +10, MP Regen Min: 5, MP Regen Max: 6
Throne:Magic Dragonfish	Spell Damage Percent: +15, HP Regen Min: 10, HP Regen Max: 10
Throne:MagiMechTech MicroMechaMech	Muscle Percent: +15
Throne:Mariachi Chihuahua	Experience (Moxie): +2
Throne:Mechanical Songbird	Spell Damage Percent: 20, HP Regen Min: 5, HP Regen Max: 10
Throne:Midget Clownfish	Spell Damage Percent: +10
Throne:Mini-Adventurer	Muscle Percent: 10, Mysticality Percent: 10, Moxie Percent: 10
Throne:Mini-Hipster	Muscle: +10, Mysticality: +10, Moxie: +10, HP Regen Min: 10, HP Regen Max: 15, MP Regen Min: 8, MP Regen Max: 10
Throne:Mini-Skulldozer	Initiative: +20
Throne:Misshapen Animal Skeleton	Familiar Weight: +5
Throne:Mosquito	Weapon Damage Percent: +20, MP Regen Min: 5, MP Regen Max: 6
Throne:Mutant Cactus Bud	Meat Drop: +20
Throne:Mutant Fire Ant	Hot Damage: +20
Throne:Mutant Gila Monster	HP Regen Min: 2, HP Regen Max: 8, MP Regen Min: 2, MP Regen Max: 8
Throne:Nanorhino	Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10
Throne:Nervous Tick	Experience (Moxie): +2, HP Regen Min: 8, HP Regen Max: 10
Throne:Ninja Pirate Zombie Robot	Muscle: +10, Mysticality: +10, Moxie: +10, HP Regen Min: 10, HP Regen Max: 15, MP Regen Min: 8, MP Regen Max: 10
Throne:Ninja Snowflake	Moxie Percent: +15, MP Regen Min: 5, MP Regen Max: 6
Throne:Nosy Nose	Moxie Percent: 15
Throne:O.A.F.	Muscle: -10, Mysticality: -10, Moxie: -10
Throne:Obtuse Angel	Meat Drop: +20, MP Regen Min: 5, MP Regen Max: 6
Throne:Oily Woim	Item Drop: +10
Throne:Origami Towel Crane	Initiative: +20, MP Regen Min: 5, MP Regen Max: 6
Throne:Pair of Ragged Claws	Familiar Weight: +5
Throne:Pair of Stomping Boots	Weapon Damage Percent: +10
Throne:Penguin Goodfella	Familiar Weight: +5
Throne:Peppermint Rhino	Weapon Damage Percent: +10, HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 3, MP Regen Max: 4
Throne:Personal Raincloud	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Pet Cheezling	Spell Damage Percent: +15, HP Regen Min: 5, HP Regen Max: 15, MP Regen Min: 2, MP Regen Max: 8
Throne:Pet Rock	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
Throne:Piano Cat	Meat Drop: +20
Throne:Pottery Barn Owl	Hot Damage: +10
Throne:Psychedelic Bear	Meat Drop: +20
Throne:Purse Rat	Experience: +2
Throne:Putty Buddy	Weapon Damage Percent: +20, MP Regen Min: 5, MP Regen Max: 6
Throne:Pygmy Bugbear Shaman	Experience (Mysticality): +2, HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 3, MP Regen Max: 4
Throne:Ragamuffin Imp	Mysticality Percent: +15
Throne:Reagnimated Gnome	Spooky Damage: +15
Throne:Reanimated Reanimator	Experience (Mysticality): +2
Throne:Reassembled Blackbird	Item Drop: +10
Throne:Reconstituted Crow	Item Drop: +10
Throne:RoboGoose	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Robot Reindeer	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Rock Lobster	Spell Damage Percent: +15, MP Regen Min: 11, MP Regen Max: 15
Throne:Rogue Program	Spell Damage Percent: +10
Throne:Sabre-Toothed Lime	Moxie Percent: +15
Throne:Scary Death Orb	Mysticality Percent: +15, MP Regen Min: 5, MP Regen Max: 6
Throne:Sleazy Gravy Fairy	Sleaze Damage: +20
Throne:Slimeling	Weapon Drop: +15
Throne:Smiling Rat	Experience: +3
Throne:Snow Angel	Spell Damage Percent: +10
Throne:Snowy Owl	Mysticality Percent: +15, HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 3, MP Regen Max: 4
Throne:Spirit Hobo	Booze Drop: +15
Throne:Spooky Gravy Fairy	Spooky Damage: +20
Throne:Spooky Pirate Skeleton	Familiar Weight: +5
Throne:Squamous Gibberer	Initiative: +20
Throne:Stab Bat	Muscle Percent: +15
Throne:Star Starfish	Spell Damage Percent: +10
Throne:Stinky Gravy Fairy	Stench Damage: +20
Throne:Stocking Mimic	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Sugar Fruit Fairy	Experience (Mysticality): +2
Throne:Sweet Nutcracker	HP Regen Min: 2, HP Regen Max: 8, MP Regen Min: 2, MP Regen Max: 8
Throne:Syncopated Turtle	Initiative: +20
Throne:Teddy Bear	Initiative: +20
Throne:Teddy Borg	Initiative: +20
Throne:Temporal Riftlet	Initiative: +20
Throne:Tickle-Me Emilio	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Toothsome Rock	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
Throne:Twitching Space Critter	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
Throne:Unconscious Collective	Maximum HP: 10, Maximum MP: 10
Throne:Underworld Bonsai	Spell Damage Percent: +10
Throne:Uniclops	Experience (Mysticality): +2
Throne:Untamed Turtle	Initiative: +20
Throne:Urchin Urchin	Weapon Damage: +10
Throne:Warbear Drone	Maximum HP: +10, Maximum MP: +10
Throne:Wereturtle	Muscle Percent: +15
Throne:Whirling Maple Leaf	Spell Damage Percent: +10
Throne:Wild Hare	Muscle: +10, Mysticality: +10, Moxie: +10, HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 3, MP Regen Max: 4
Throne:Wind-up Chattering Teeth	Muscle Percent: +15
Throne:Wizard Action Figure	Spell Damage Percent: +10, MP Regen Min: 5, MP Regen Max: 5

# Sneaky Pete's Motorbike section

# Motorbike:Blacklight Bulb gives +2% desert exploration after every combat in the desert
# Motorbike:Deep-Seat Cushions means you find extra Meat after combat 
# Motorbike:Extra-Buoyant Tank allows access to Mysterious Island of Mystery
# Motorbike:Extra-Loud Muffler means Rev Engine also grants: Unmuffled
# Motorbike:Extra-Quiet Muffler means Rev Engine also grants: Muffled
# Motorbike:Extra-Smelly Muffler means Peel Out also banishes enemies
# Motorbike:Ghost Vacuum does more damage against undead
# Motorbike:Large Capacity Tanks allows access to Desert Beach
Motorbike:Massage Seat	HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 5, MP Regen Max: 6
Motorbike:Nitro-Burnin' Funny Tank	Initiative: +50
# Motorbike:Party Bulb makes Flash Headlight deal prismatic damage
# Motorbike:Racing Slicks allows you to Peel Out 20 times more per day
# Motorbike:Rocket Launcher constantly fires military-grade rockets 
Motorbike:Sissy Bar	Monster Level: -30
# Motorbike:Snow Tires allows you to ascend The Mist-Shrouded Peak
# Motorbike:Spiky Tires Pop Wheelie deals more damage
Motorbike:Sweepy Red Light	Experience: +5
# Motorbike:Ultrabright Yellow Bulb adds yellow ray to Flash Headlight

# Snow Suit decoration section
# Decoration names must match enum names in CharPaneRequest

Snowsuit:GOATEE	HP Regen Min: 1, HP Regen Max: 20
Snowsuit:HAT	MP Regen Min: 1, MP Regen Max: 10
Snowsuit:NOSE	Item Drop: 10

# Bedazzlements section of modifiers.txt

scratch 'n' sniff apple sticker	Experience: +2
scratch 'n' sniff dragon sticker	Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3
scratch 'n' sniff rock band sticker	Weapon Damage: +20, Spell Damage: +20
scratch 'n' sniff unicorn sticker	Item Drop: +25
scratch 'n' sniff UPC sticker	Meat Drop: +25
scratch 'n' sniff wrestler sticker	Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10

# Alice's Army section of modifiers.txt

Alice's Army Alchemist	Spell Damage: +15
Alice's Army Bowman	Ranged Damage: +10
Alice's Army Cleric	HP Regen Min: 10, HP Regen Max: 20
Alice's Army Coward	Initiative: +20
# Alice's Army Dervish	Weapon Damage +1-20
Alice's Army Guard	Damage Reduction: 3
Alice's Army Halberder	Weapon Damage: +5
Alice's Army Hammerman	Critical Hit Percent: +1
Alice's Army Horseman	Muscle Percent: +5, Mysticality Percent: +5, Moxie Percent: +5
Alice's Army Lanceman	PvP Fights: +2
# Alice's Army Mad Bomber	Weapon Damage +1-15
Alice's Army Martyr	Damage Reduction: 5
Alice's Army Ninja	Monster Level: +5
Alice's Army Nurse	HP Regen Min: 5, HP Regen Max: 10
Alice's Army Page	Weapon Damage: +5
Alice's Army Shieldmaiden	Damage Reduction: 3
Alice's Army Sniper	Weapon Damage: +10
Alice's Army Spearsman	Weapon Damage: +5
Alice's Army Swordsman	Weapon Damage: +5
Alice's Army Wallman	Damage Reduction: 3

Alice's Army Foil Alchemist	Spell Damage: +45
Alice's Army Foil Bowman	Ranged Damage: +30
Alice's Army Foil Cleric	HP Regen Min: 30, HP Regen Max: 60
Alice's Army Foil Coward	Initiative: +60
# Alice's Army Foil Dervish	Weapon Damage +1-60
Alice's Army Foil Guard	Damage Reduction: 9
Alice's Army Foil Halberder	Weapon Damage: +15
Alice's Army Foil Hammerman	Critical Hit Percent: +3
Alice's Army Foil Horseman	Muscle Percent: +15, Mysticality Percent: +15, Moxie Percent: +15
Alice's Army Foil Lanceman	PvP Fights: +6
# Alice's Army Foil Mad Bomber	Weapon Damage +1-45
Alice's Army Foil Martyr	Damage Reduction: 15
Alice's Army Foil Ninja	Monster Level: +15
Alice's Army Foil Nurse	HP Regen Min: 15, HP Regen Max: 30
Alice's Army Foil Page	Weapon Damage: +15
Alice's Army Foil Shieldmaiden	Damage Reduction: 9
Alice's Army Foil Sniper	Weapon Damage: +30
Alice's Army Foil Spearsman	Weapon Damage: +15
Alice's Army Foil Swordsman	Weapon Damage: +15
Alice's Army Foil Wallman	Damage Reduction: 9

# Folder section of modifiers.txt

# folder (barbarian): Increased physical damage as you take damage
folder (blue)	Mysticality: +20
folder (catfish)	Familiar Weight (hidden): [15*(zone(The Sea)+loc(The Sunken Party Yacht))]
folder (cyan)	Mysticality: +15, Moxie: +15
folder (D-Team)	Experience (Muscle): +1, Experience (Mysticality): +1, Experience (Moxie): +1
folder (dancing dolphins)	Item Drop: [50*(zone(The Sea)+loc(The Sunken Party Yacht))]
folder (Ex-Files)	Combat Rate: +5
folder (green)	Moxie: +20
folder (heavy metal)	Familiar Weight: +5
folder (holographic fractal)	Cold Resistance: +4, Hot Resistance: +4, Sleaze Resistance: +4, Spooky Resistance: +4, Stench Resistance: +4
folder (Jackass Plumber)	Monster Level: +25
folder (Knight Writer)	Initiative: +40
folder (KOLHS)	Item Drop: [50*zone(KOL High School)]
folder (magenta)	Muscle: +15, Mysticality: +15
folder (owl)	Item Drop: [500*zone(Dreadsylvania)]
# folder (rainbow unicorn): Deals Prismatic Damage to Attackers
folder (red)	Muscle: +20
folder (Seawolf)	Initiative Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Item Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))]
folder (skull and crossbones)	Combat Rate: -5
folder (smiley face)	Experience (Muscle): +2
folder (space skeleton)	Experience (Moxie): +2
folder (sports car)	Adventures: +5
folder (sportsballs)	PvP Fights: +5
# folder (Stinky Trash Kid): Deals <font color=green>Stench Damage</font> every round
folder (tranquil landscape)	Damage Reduction: 15, HP Regen Min: 10, HP Regen Max: 20, MP Regen Min: 10, MP Regen Max: 20
folder (wizard)	Experience (Mysticality): +2
folder (Yedi)	Spell Damage Percent: +50
folder (yellow)	Muscle: +15, Moxie: +15

# Campground equipment section of modifiers.txt

barskin tent	Base Resting HP: +19, Base Resting MP: +20
# bartender-in-the-box
beanbag chair	Bonus Resting MP: +30
bed of coals	Hot Resistance: +2
# big rock is used as a placeholder for "the ground" (when you have no housing)
big rock	Base Resting HP: +4, Base Resting MP: +5
# black-and-blue light
# blue plasma ball
BRICKO pyramid	Base Resting HP: +34, Base Resting MP: +35
# chef-in-the-box
# clockwork bartender-in-the-box
# clockwork chef-in-the-box
clockwork maid	Adventures: +8
comfy blanket	Base Resting HP: +50
comfy coffin	Spooky Resistance: +2
cottage	Base Resting HP: +29, Base Resting MP: +30
cuckoo clock	Adventures: +3
elevent	Base Resting HP: +49, Base Resting MP: +50
Feng Shui for Big Dumb Idiots	Bonus Resting MP: +7
filth-encrusted futon	Stench Resistance: +2
frigid air mattress	Cold Resistance: +2
Frobozz Real-Estate Company Instant House (TM)	Base Resting HP: +39, Base Resting MP: +40
gauze hammock	Bonus Resting HP: +60
gingerbread house	Base Resting HP: +69, Base Resting MP: +70
giant Faraday cage	Base Resting HP: +50, Base Resting MP: +50
ginormous pumpkin	Base Resting HP: +49, Base Resting MP: +50
hobo fortress blueprints	Base Resting HP: +84, Base Resting MP: +85
house of twigs and spit	Base Resting HP: +59, Base Resting MP: +60
# huge pumpkin
Lazybones&trade; recliner	Spooky Resistance: +2
# Loudmouth Larry Lamprey
# meat golem
Meat maid	Adventures: +4
Newbiesport&trade; tent	Base Resting HP: +9, Base Resting MP: +10
pagoda plans	Resting HP Percent: +100, Resting MP Percent: +100, Adventures: +3
# pumpkin
saltwaterbed	Item Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Initiative Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))]
sandcastle	Base Resting HP: +49, Base Resting MP: +50
# sleeping stocking
# snow fort 10 turns of Snow Fortified (+25% item drop, +50% meat drop, +50 max MP, +100 max HP)
snow fort	Base Resting HP: +65, Base Resting MP: +65
# spirit bed 20 turns of Spirit Schooled (+20% max MP)
# spooky scarecrow
stained mattress	Sleaze Resistance: +2
tin roof (rusted)	PvP Fights: +5

# Status Effects section of modifiers.txt

&quot;The Disease&quot;	Moxie: -5
'Roids of the Rhinoceros	Muscle: +100
1337p4n7Z	Muscle: +6, Moxie: -3
2 Hearts, 1 Mind	Experience: +3, Experience (familiar): +3
20-20 Second Sight	Maximum MP: +25
20/20 Vision	Item Drop: +10
5 Pounds Lighter	Initiative: +10, Moxie: +5
8-bit Apparition	Avatar: "ancient ghost"
A Contender	Muscle Percent: +200, Mysticality Percent: +200, Moxie Percent: +200
A Few Extra Pounds	Maximum HP: [5*min(L,11)]
# A Hole in the World: Time destroys everything
A Little Bit Evil (Accordion Thief)	Monster Level: +2
A Little Bit Evil (Disco Bandit)	Monster Level: +2
A Little Bit Evil (Pastamancer)	Monster Level: +2
A Little Bit Evil (Sauceror)	Monster Level: +2
A Little Bit Evil (Seal Clubber)	Monster Level: +2
A Little Bit Evil (Turtle Tamer)	Monster Level: +2
A Little Bit Frightening	Spooky Damage: [3*L]
A Little Bit Poisoned	Muscle Percent: -30, Mysticality Percent: -30, Moxie Percent: -30, Muscle: -5, Mysticality: -5, Moxie: -5
A Revolution in Your Mouth	Moxie Percent: -10
A Short Trial	Avatar: "pygmy witch lawyer"
A Taste for Accounting	Avatar: "pygmy witch accountant"
# A Taste of Rainbow: Increases stat gains from food
Abominably Slippery	Initiative: +20, Sleaze Resistance: +2
# Absinthe-Minded: You are aware of The Worm Wood
Abyssal Blood	Weapon Damage Percent: +100, Hot Damage: +50, HP Regen Min: 40, HP Regen Max: 50
# Abyssal Sweat: The first attack against you will always miss
Abyssal Tears	Reduce Enemy Defense: 20
Ack! Barred!	Muscle Percent: +30
Adorable Lookout	Initiative: +30
Adrenaline Rush	Muscle Percent: +100
Affronted Decency	Moxie: -20
Afternoon Insight	Mysticality Percent: +20
Agent's Shield	Avatar: "Government agent"
Aided and Abetted	Damage Reduction: [L]
Al Dente Inferno	Maximum MP: +20, MP Regen Min: 18, MP Regen Max: 20
Alchemical, Brother	Mysticality Percent: +30
Alien Resurrection	Avatar: "illegal alien"
# All Covered In Whatsit: More likely to fumble
# All Covered In Whatsit: Continually take damage
All Fired Up	Initiative: +30
All Glory To the Toad	Hot Damage: +2, Cold Damage: +2, Spooky Damage: +2, Stench Damage: +2, Sleaze Damage: +2
All Is Forgiven	Familiar Weight: +10
All Revved Up	Muscle: +10, Mysticality: +10, Moxie: +10
All Wound Up	Spell Damage Percent: [max(0,202-2*T)], Weapon Damage Percent: [max(0,202-2*T)]
# Aloysius' Antiphon of Aptitude: +1 Muscle, Mysticality and Moxie Stat Per Fight
Aloysius' Antiphon of Aptitude	Experience (Muscle): +1, Experience (Mysticality): +1, Experience (Moxie): +1
Also Schmeckt Zarathustra	Mysticality: +30
Altered Wavelengths	Hot Damage: +5, Cold Damage: +5, Stench Damage: +5, Spooky Damage: +5, Sleaze Damage: +5
Always In Motion	Initiative: +100
Amorous	Moxie: +5, Sleaze Damage: +5
# Amorous Avarice: Meat Drop: +X
Amorphous Cheer	Muscle Percent: +50, Mysticality Percent: +50, Moxie Percent: +50
Ancestral Disapproval	Mysticality Percent: +10
Ancient Annoying Serpent Poison	Muscle: -20, Mysticality: -20, Moxie: -20
Ancient Protected	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
And Your Family, Too	Familiar Weight: -10
# Angry Bone: +40 Damage vs. Undead
Angry like the Wolf	Maximum HP: +20, Maximum MP: +10
Animal Exploiter	Muscle: +40, Familiar Weight Percent: -50
# Antarctic Memories: Recover HP and MP after battle
Antarctic Memories	HP Regen Min: 40, HP Regen Max: 40, MP Regen Min: 40, MP Regen Max: 40
Antibiotic Saucesphere	HP Regen Min: 4, HP Regen Max: 5
# Antihangover	actual bonus is floor((yesterday's drunkenness)^(1/1.7))
Antihangover	Muscle: +5, Mysticality: +5, Moxie: +5
Antsy in your Pantsy	Muscle Percent: +5, Mysticality Percent: +5, Moxie Percent: +5
Anytwo Five Elevenis?	Muscle: +10
Apathy	Muscle Percent: -30, Mysticality Percent: -30, Moxie Percent: -30
Apoplectic with Rage	Mysticality Percent: -10
Aquarius Rising	Spell Damage: +30
Arabian Knighthood	Muscle Percent: +5
Arcane in the Brain	Mana Cost (stackable): -3
Arched Eyebrow of the Archmage	Spell Damage: +10
Aries Rising	Weapon Damage: +30
Armor-Plated	Damage Reduction: 10
Army of One	Muscle Percent: +100, Mysticality Percent: +100, Moxie Percent: +100
Arresistible	Moxie: +50
Arse-a'fire	Muscle Percent: +10, Initiative: +25
Artificially Sweet	Moxie Percent: +100
Artisanal Retentive	Avatar: "Foodie Giant"
Ashen	Combat Rate: -10
Ashen Burps	Monster Level: +15
Aspect of the GravyPlum Fairy	Item Drop: +10
Aspect of the Twinklefairy	Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10, Weapon Damage: +5, Spell Damage: +5
Ass Over Teakettle	Initiative: +50
Assaulted with Pepper	Monster Level: +20
Astral Shell	Damage Absorption: +80, Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1
# Avatar of She-Who-Was: You can unleash the Voice of She-Who-Was
Avatar of She-Who-Was	Hot Resistance: +5, Cold Resistance: +5, Spooky Resistance: +5, Stench Resistance: +5, Sleaze Resistance: +5, Spell Damage Percent: +100
# Avatar of the Storm Tortoise: You can unleash the Will of the Storm Tortoise
Avatar of the Storm Tortoise	Initiative: +100, Maximum MP: +200, MP Regen Min: 30, MP Regen Max: 40
# Avatar of the War Snapper: You take very little damage in combat
# Avatar of the War Snapper: Your regular attacks always hit
# Avatar of the War Snapper: You can unleash the Rage of the War Snapper
Axe Wound	Muscle: -5
Aykrophobia	Item Drop: +25, Spooky Damage: +20, Monster Level: +15
# B-b-brr!
Baconstoned	Mysticality Percent: +50, Spell Damage: +11
# Bad Luck: Uh Oh...
Badger Underfoot	Meat Drop: +20
